Venda ID,Produto,Data,Hora,Quantidade,Preço Unitário,Cliente ID,Forma Pagamento,Preço Total
2349,Azapa,01/01/2024,12:56:53,4,34.0,195,Cartão de Crédito,136.0
10321,Supreme / Croissant NY Chocolate,01/01/2024,13:05:05,7,19.0,129,Cartão de Débito,133.0
7356,Azapa,01/01/2024,13:06:14,5,34.0,159,Cartão de Débito,170.0
12162,Danish Gorgonzola com amêndoas,01/01/2024,13:20:36,1,15.0,188,Dinheiro,15.0
12047,BOSTOCK,01/01/2024,13:24:44,2,18.0,190,Dinheiro,36.0
14802,Tradicional/Seu Tico,01/01/2024,13:36:04,4,29.5,184,Cartão de Crédito,118.0
8687,Tartelete de limão,01/01/2024,13:38:27,9,16.0,168,Cartão de Débito,144.0
13330,Supreme de Pistache,01/01/2024,13:41:09,8,21.0,127,Cartão de Crédito,168.0
33,Supreme de Pistache,01/01/2024,13:46:16,2,21.0,186,Cartão de Crédito,42.0
616,Supreme / Croissant NY Chocolate,01/01/2024,13:52:56,4,19.0,110,Dinheiro,76.0
7089,Tartelete de limão,01/01/2024,14:08:12,1,16.0,138,Dinheiro,16.0
3204,Gorgonzola com nozes,01/01/2024,14:08:13,6,36.5,105,Dinheiro,219.0
10032,Baguete,01/01/2024,14:09:49,2,10.0,182,Dinheiro,20.0
4217,Pain au chocolat,01/01/2024,14:14:02,2,13.5,123,Dinheiro,27.0
9387,Gorgonzola com nozes,01/01/2024,14:21:10,5,36.5,197,Cartão de Débito,182.5
5472,Gorgonzola com nozes,01/01/2024,14:25:10,1,36.5,104,Cartão de Crédito,36.5
6378,Croissant,01/01/2024,14:27:36,6,11.5,103,Cartão de Crédito,69.0
2506,"Danish Mussarela, bacon e mostarda",01/01/2024,14:54:07,5,15.0,117,Dinheiro,75.0
12646,Cruffin de Creme de Avelã,01/01/2024,15:01:00,2,16.0,113,Cartão de Crédito,32.0
6217,Pastel de nata,01/01/2024,15:13:18,1,8.5,186,Cartão de Crédito,8.5
5628,Gorgonzola com nozes,01/01/2024,15:16:43,3,36.5,130,Cartão de Débito,109.5
9021,Tartelete de caramelo e chocolate,01/01/2024,15:33:56,9,16.0,125,Cartão de Débito,144.0
5775,Supreme / Croissant NY Chocolate,01/01/2024,15:51:48,1,19.0,182,Cartão de Débito,19.0
2743,kouign-amann,01/01/2024,15:58:29,8,18.0,137,Cartão de Débito,144.0
1987,Pastel de nata,01/01/2024,16:43:25,9,8.5,150,Cartão de Débito,76.5
15383,Gorgonzola com nozes,01/01/2024,16:51:56,8,36.5,164,Cartão de Débito,292.0
12877,Cruffin de Creme de Avelã,01/01/2024,16:53:49,7,16.0,166,Cartão de Débito,112.0
7108,Pain au chocolat,01/01/2024,17:05:41,7,13.5,106,Dinheiro,94.5
15122,Supreme / Croissant NY Chocolate,01/01/2024,17:14:55,5,19.0,114,Dinheiro,95.0
4114,Pain aux Suisse,01/01/2024,17:14:57,4,14.0,127,Cartão de Crédito,56.0
5371,Baguete,01/01/2024,17:27:32,13,10.0,180,Cartão de Crédito,130.0
5647,Tradicional/Seu Tico,01/01/2024,17:29:15,3,29.5,147,Cartão de Débito,88.5
5590,Brioche,01/01/2024,17:33:23,1,25.0,193,Cartão de Débito,25.0
4508,Tartelete de caramelo e chocolate,01/01/2024,17:34:06,6,16.0,165,Dinheiro,96.0
3221,Cruffin de Creme de Avelã,01/01/2024,17:34:18,1,16.0,119,Cartão de Crédito,16.0
908,Pain aux Suisse,01/01/2024,17:51:18,1,14.0,129,Dinheiro,14.0
3267,Croissant de Amêndoas,01/01/2024,18:01:13,7,18.0,183,Cartão de Crédito,126.0
9305,Supreme / Croissant NY Chocolate,01/01/2024,18:21:27,7,19.0,189,Cartão de Débito,133.0
8416,"Focaccia Tomate, Alecrim e flor sal",01/01/2024,18:32:55,7,20.0,141,Cartão de Débito,140.0
3806,Brioche,01/01/2024,18:38:14,6,25.0,176,Cartão de Débito,150.0
4869,Brioche,01/01/2024,18:41:59,7,25.0,145,Dinheiro,175.0
7733,Croissant,01/01/2024,18:42:14,8,11.5,101,Cartão de Débito,92.0
7868,Danish Gorgonzola com amêndoas,01/01/2024,18:44:55,5,15.0,188,Cartão de Crédito,75.0
9506,Pastel de nata,01/01/2024,18:47:08,16,8.5,133,Cartão de Débito,136.0
4710,Tartelete de limão,01/01/2024,18:49:45,7,16.0,164,Cartão de Débito,112.0
11164,Baguete,01/01/2024,18:56:26,3,10.0,104,Cartão de Débito,30.0
4492,BOSTOCK,01/01/2024,18:57:52,4,18.0,129,Cartão de Crédito,72.0
9313,Brioche,01/01/2024,19:14:36,8,25.0,185,Dinheiro,200.0
13172,Danish Gorgonzola com amêndoas,01/01/2024,19:48:41,8,15.0,112,Cartão de Crédito,120.0
11425,Danish Gorgonzola com amêndoas,01/01/2024,19:53:54,6,15.0,178,Cartão de Crédito,90.0
1684,Tradicional/Seu Tico,02/01/2024,08:03:43,8,29.5,153,Cartão de Crédito,236.0
14986,Tartelete de limão,02/01/2024,08:26:44,4,16.0,181,Dinheiro,64.0
10004,"Focaccia Tomate, Alecrim e flor sal",02/01/2024,08:30:18,8,20.0,123,Cartão de Crédito,160.0
7888,Tradicional/Seu Tico,02/01/2024,08:35:53,5,29.5,193,Cartão de Débito,147.5
4473,Tartelete de limão,02/01/2024,08:50:01,9,16.0,109,Cartão de Crédito,144.0
12528,Supreme de Pistache,02/01/2024,08:51:40,1,21.0,169,Cartão de Débito,21.0
9744,Croissant de Amêndoas,02/01/2024,08:55:16,4,18.0,121,Dinheiro,72.0
15717,Baguete,02/01/2024,09:11:37,20,10.0,189,Cartão de Débito,200.0
9893,Tradicional/Seu Tico,02/01/2024,09:13:44,8,29.5,185,Cartão de Crédito,236.0
8899,Gorgonzola com nozes,02/01/2024,09:19:58,6,36.5,177,Cartão de Débito,219.0
4345,Baguete calabresa com Alecrim,02/01/2024,09:21:07,5,12.0,142,Cartão de Débito,60.0
6465,kouign-amann,02/01/2024,09:32:06,3,18.0,135,Cartão de Débito,54.0
14277,Danish Gorgonzola com amêndoas,02/01/2024,09:35:03,10,15.0,124,Dinheiro,150.0
2920,Baguete,02/01/2024,09:39:32,5,10.0,191,Cartão de Débito,50.0
3362,Pastel de nata,02/01/2024,09:43:02,18,8.5,148,Dinheiro,153.0
15048,kouign-amann,02/01/2024,09:56:34,2,18.0,148,Cartão de Débito,36.0
11520,Baguete calabresa com Alecrim,02/01/2024,10:13:47,8,12.0,151,Cartão de Débito,96.0
4072,Supreme / Croissant NY Chocolate,02/01/2024,10:31:51,5,19.0,167,Cartão de Crédito,95.0
10402,Croissant,02/01/2024,10:43:15,9,11.5,151,Cartão de Débito,103.5
8930,Baguete calabresa com Alecrim,02/01/2024,10:47:01,5,12.0,183,Cartão de Débito,60.0
3684,Croissant,02/01/2024,10:49:36,8,11.5,172,Cartão de Crédito,92.0
13482,Cruffin de Creme de Avelã,02/01/2024,10:51:54,2,16.0,190,Cartão de Débito,32.0
8774,Baguete,02/01/2024,11:04:05,16,10.0,128,Cartão de Crédito,160.0
3414,"Danish Mussarela, bacon e mostarda",02/01/2024,11:06:38,5,15.0,128,Cartão de Débito,75.0
8058,Pain aux Suisse,02/01/2024,11:06:53,3,14.0,140,Cartão de Débito,42.0
2083,Croissant,02/01/2024,11:11:51,5,11.5,140,Dinheiro,57.5
11329,Gorgonzola com nozes,02/01/2024,11:33:48,5,36.5,149,Cartão de Crédito,182.5
2488,Baguete,02/01/2024,11:42:12,5,10.0,186,Cartão de Crédito,50.0
12314,Croissant,02/01/2024,11:52:48,2,11.5,106,Dinheiro,23.0
14235,Azapa,02/01/2024,12:02:14,3,34.0,184,Cartão de Débito,102.0
1228,kouign-amann,02/01/2024,12:17:03,6,18.0,197,Cartão de Crédito,108.0
9238,Tartelete de caramelo e chocolate,02/01/2024,12:36:29,1,16.0,193,Cartão de Débito,16.0
12977,Danish Gorgonzola com amêndoas,02/01/2024,12:51:57,2,15.0,121,Cartão de Crédito,30.0
6273,kouign-amann,02/01/2024,13:00:46,8,18.0,111,Cartão de Débito,144.0
6961,Danish Gorgonzola com amêndoas,02/01/2024,13:01:28,2,15.0,130,Dinheiro,30.0
8766,Tartelete de limão,02/01/2024,13:05:43,8,16.0,119,Cartão de Débito,128.0
9903,Supreme / Croissant NY Chocolate,02/01/2024,13:11:24,9,19.0,153,Cartão de Débito,171.0
7693,Baguete,02/01/2024,13:12:20,8,10.0,118,Cartão de Crédito,80.0
8648,Tradicional/Seu Tico,02/01/2024,13:21:23,8,29.5,145,Dinheiro,236.0
3174,Pain aux Suisse,02/01/2024,13:21:57,2,14.0,173,Cartão de Débito,28.0
15479,Baguete calabresa com Alecrim,02/01/2024,13:23:43,5,12.0,175,Cartão de Débito,60.0
2210,Tradicional/Seu Tico,02/01/2024,13:24:27,1,29.5,174,Cartão de Débito,29.5
1511,Danish Gorgonzola com amêndoas,02/01/2024,13:35:19,5,15.0,179,Dinheiro,75.0
15711,kouign-amann,02/01/2024,13:58:41,7,18.0,109,Cartão de Débito,126.0
11441,Gorgonzola com nozes,02/01/2024,14:02:20,3,36.5,157,Cartão de Crédito,109.5
8373,Supreme de Pistache,02/01/2024,14:13:38,6,21.0,156,Cartão de Crédito,126.0
7240,Croissant,02/01/2024,14:23:10,3,11.5,128,Cartão de Crédito,34.5
6815,Gorgonzola com nozes,02/01/2024,14:40:52,4,36.5,130,Cartão de Crédito,146.0
4649,Baguete calabresa com Alecrim,02/01/2024,14:59:49,8,12.0,159,Cartão de Crédito,96.0
654,kouign-amann,02/01/2024,15:01:41,8,18.0,106,Dinheiro,144.0
11074,BOSTOCK,02/01/2024,15:09:48,6,18.0,120,Cartão de Crédito,108.0
4975,Croissant,02/01/2024,15:34:58,9,11.5,103,Cartão de Débito,103.5
11961,Gorgonzola com nozes,02/01/2024,15:44:39,6,36.5,173,Cartão de Crédito,219.0
10014,Pain au chocolat,02/01/2024,16:00:12,7,13.5,127,Cartão de Débito,94.5
14551,Croissant,02/01/2024,16:09:16,8,11.5,119,Cartão de Débito,92.0
13042,Tradicional/Seu Tico,02/01/2024,16:16:22,7,29.5,128,Cartão de Débito,206.5
8220,Croissant de Amêndoas,02/01/2024,16:20:19,5,18.0,196,Cartão de Débito,90.0
312,Croissant de Amêndoas,02/01/2024,16:26:01,8,18.0,197,Dinheiro,144.0
11393,Danish Gorgonzola com amêndoas,02/01/2024,16:36:44,8,15.0,108,Dinheiro,120.0
5556,Baguete calabresa com Alecrim,02/01/2024,16:39:57,10,12.0,121,Dinheiro,120.0
6661,"Danish Mussarela, bacon e mostarda",02/01/2024,16:40:35,10,15.0,192,Cartão de Crédito,150.0
3905,Azapa,02/01/2024,16:55:24,4,34.0,125,Cartão de Débito,136.0
6973,Baguete,02/01/2024,16:55:51,1,10.0,133,Dinheiro,10.0
13635,Azapa,02/01/2024,17:00:29,7,34.0,121,Cartão de Crédito,238.0
14603,Cruffin de Creme de Avelã,02/01/2024,17:12:31,10,16.0,105,Cartão de Crédito,160.0
12839,Azapa,02/01/2024,17:27:10,4,34.0,113,Cartão de Crédito,136.0
3532,Azapa,02/01/2024,17:38:40,4,34.0,151,Dinheiro,136.0
5919,Azapa,02/01/2024,17:48:13,7,34.0,139,Cartão de Crédito,238.0
10268,Tartelete de limão,02/01/2024,18:17:24,3,16.0,126,Dinheiro,48.0
2949,Tartelete de limão,02/01/2024,18:29:09,8,16.0,117,Cartão de Débito,128.0
7663,Croissant,02/01/2024,18:30:15,4,11.5,189,Cartão de Crédito,46.0
14276,kouign-amann,02/01/2024,18:33:08,10,18.0,120,Cartão de Crédito,180.0
1908,Cruffin de Creme de Avelã,02/01/2024,18:45:02,6,16.0,149,Cartão de Débito,96.0
5974,Tartelete de limão,02/01/2024,18:49:47,10,16.0,170,Dinheiro,160.0
714,Pain aux Suisse,02/01/2024,18:54:17,1,14.0,142,Cartão de Crédito,14.0
7386,Tartelete de caramelo e chocolate,02/01/2024,19:04:03,2,16.0,189,Dinheiro,32.0
1034,Croissant,02/01/2024,19:16:07,7,11.5,140,Cartão de Crédito,80.5
5057,Brioche,02/01/2024,19:18:54,1,25.0,186,Cartão de Crédito,25.0
244,Tartelete de limão,02/01/2024,19:20:14,6,16.0,100,Cartão de Crédito,96.0
2457,"Danish Mussarela, bacon e mostarda",02/01/2024,19:34:21,2,15.0,196,Cartão de Crédito,30.0
13429,Tradicional/Seu Tico,02/01/2024,19:41:35,4,29.5,130,Cartão de Débito,118.0
15145,"Danish Mussarela, bacon e mostarda",02/01/2024,19:48:19,6,15.0,170,Dinheiro,90.0
5746,"Focaccia Tomate, Alecrim e flor sal",03/01/2024,08:01:20,3,20.0,134,Cartão de Débito,60.0
6399,Pain au chocolat,03/01/2024,08:06:08,8,13.5,187,Dinheiro,108.0
3074,Supreme / Croissant NY Chocolate,03/01/2024,08:07:35,8,19.0,162,Cartão de Débito,152.0
6677,Pastel de nata,03/01/2024,08:13:05,10,8.5,190,Dinheiro,85.0
7873,Baguete calabresa com Alecrim,03/01/2024,08:13:11,6,12.0,102,Dinheiro,72.0
4861,Tradicional/Seu Tico,03/01/2024,08:21:26,8,29.5,128,Cartão de Crédito,236.0
14023,Pain au chocolat,03/01/2024,08:22:00,9,13.5,120,Cartão de Crédito,121.5
2193,Supreme / Croissant NY Chocolate,03/01/2024,08:28:58,4,19.0,156,Dinheiro,76.0
9504,kouign-amann,03/01/2024,08:38:33,2,18.0,118,Cartão de Crédito,36.0
12196,Baguete,03/01/2024,08:39:16,20,10.0,141,Dinheiro,200.0
2896,BOSTOCK,03/01/2024,08:40:09,10,18.0,169,Cartão de Crédito,180.0
11604,Tartelete de caramelo e chocolate,03/01/2024,08:40:33,1,16.0,176,Cartão de Crédito,16.0
12458,Gorgonzola com nozes,03/01/2024,08:46:03,8,36.5,179,Cartão de Crédito,292.0
8369,Croissant de Amêndoas,03/01/2024,08:49:12,1,18.0,179,Cartão de Débito,18.0
536,Tartelete de limão,03/01/2024,08:49:23,10,16.0,150,Dinheiro,160.0
7324,Gorgonzola com nozes,03/01/2024,09:15:23,4,36.5,186,Cartão de Débito,146.0
5028,Brioche,03/01/2024,09:58:12,4,25.0,190,Dinheiro,100.0
9531,Tartelete de caramelo e chocolate,03/01/2024,10:02:33,6,16.0,104,Cartão de Débito,96.0
7412,Baguete calabresa com Alecrim,03/01/2024,10:17:22,7,12.0,189,Dinheiro,84.0
1268,Baguete calabresa com Alecrim,03/01/2024,10:20:15,10,12.0,170,Cartão de Crédito,120.0
12553,Pain au chocolat,03/01/2024,10:30:35,9,13.5,124,Dinheiro,121.5
9484,Supreme de Pistache,03/01/2024,10:42:00,3,21.0,156,Cartão de Débito,63.0
1927,Supreme / Croissant NY Chocolate,03/01/2024,10:49:29,3,19.0,123,Cartão de Crédito,57.0
12821,kouign-amann,03/01/2024,10:51:32,7,18.0,106,Cartão de Débito,126.0
8524,Pastel de nata,03/01/2024,10:55:14,2,8.5,168,Dinheiro,17.0
9454,Cruffin de Creme de Avelã,03/01/2024,11:02:16,9,16.0,132,Dinheiro,144.0
6127,Croissant,03/01/2024,11:24:55,2,11.5,103,Cartão de Crédito,23.0
2680,Pain au chocolat,03/01/2024,11:41:57,9,13.5,127,Dinheiro,121.5
1761,Croissant de Amêndoas,03/01/2024,11:44:43,10,18.0,158,Cartão de Crédito,180.0
7782,Croissant de Amêndoas,03/01/2024,11:46:28,8,18.0,132,Dinheiro,144.0
7358,Baguete calabresa com Alecrim,03/01/2024,11:55:17,6,12.0,126,Cartão de Crédito,72.0
9018,Cruffin de Creme de Avelã,03/01/2024,12:05:59,2,16.0,162,Cartão de Débito,32.0
5052,Supreme / Croissant NY Chocolate,03/01/2024,12:07:46,5,19.0,147,Dinheiro,95.0
14372,Brioche,03/01/2024,12:13:00,3,25.0,152,Cartão de Crédito,75.0
13334,Pastel de nata,03/01/2024,12:17:36,3,8.5,117,Dinheiro,25.5
4961,Pain au chocolat,03/01/2024,12:18:32,9,13.5,140,Cartão de Débito,121.5
7918,Pastel de nata,03/01/2024,12:21:40,15,8.5,108,Dinheiro,127.5
10556,kouign-amann,03/01/2024,12:27:14,1,18.0,106,Cartão de Débito,18.0
7260,"Focaccia Tomate, Alecrim e flor sal",03/01/2024,12:35:17,8,20.0,109,Cartão de Débito,160.0
3281,"Focaccia Tomate, Alecrim e flor sal",03/01/2024,12:59:43,4,20.0,139,Cartão de Débito,80.0
7172,Azapa,03/01/2024,13:11:10,3,34.0,171,Dinheiro,102.0
14630,Supreme de Pistache,03/01/2024,13:11:51,7,21.0,170,Cartão de Crédito,147.0
12050,Croissant,03/01/2024,13:16:07,4,11.5,139,Cartão de Crédito,46.0
15276,Azapa,03/01/2024,13:16:16,4,34.0,182,Cartão de Crédito,136.0
11843,BOSTOCK,03/01/2024,13:17:42,10,18.0,173,Cartão de Débito,180.0
9915,Cruffin de Creme de Avelã,03/01/2024,13:22:07,3,16.0,137,Cartão de Crédito,48.0
322,Tartelete de caramelo e chocolate,03/01/2024,13:27:22,1,16.0,165,Dinheiro,16.0
1395,Pain au chocolat,03/01/2024,13:36:20,10,13.5,117,Cartão de Débito,135.0
2430,Danish Gorgonzola com amêndoas,03/01/2024,13:39:29,3,15.0,117,Cartão de Débito,45.0
5721,Tartelete de caramelo e chocolate,03/01/2024,14:24:03,5,16.0,131,Cartão de Crédito,80.0
6354,Brioche,03/01/2024,14:28:27,6,25.0,164,Dinheiro,150.0
15102,kouign-amann,03/01/2024,14:31:58,1,18.0,110,Cartão de Crédito,18.0
13027,Supreme / Croissant NY Chocolate,03/01/2024,14:41:57,8,19.0,127,Cartão de Crédito,152.0
1427,BOSTOCK,03/01/2024,14:45:40,7,18.0,112,Dinheiro,126.0
3554,Croissant de Amêndoas,03/01/2024,14:47:39,6,18.0,103,Cartão de Débito,108.0
14391,Pastel de nata,03/01/2024,15:05:59,14,8.5,185,Dinheiro,119.0
1535,Baguete calabresa com Alecrim,03/01/2024,15:13:08,7,12.0,131,Cartão de Crédito,84.0
220,Cruffin de Creme de Avelã,03/01/2024,15:15:53,3,16.0,137,Cartão de Débito,48.0
650,"Focaccia Tomate, Alecrim e flor sal",03/01/2024,15:19:00,6,20.0,196,Cartão de Débito,120.0
402,Tartelete de limão,03/01/2024,15:29:55,1,16.0,170,Cartão de Débito,16.0
1236,Tradicional/Seu Tico,03/01/2024,15:33:41,6,29.5,147,Cartão de Crédito,177.0
6146,Tradicional/Seu Tico,03/01/2024,15:37:19,2,29.5,194,Cartão de Crédito,59.0
15357,Croissant de Amêndoas,03/01/2024,15:39:53,4,18.0,146,Cartão de Débito,72.0
3629,Danish Gorgonzola com amêndoas,03/01/2024,15:41:08,8,15.0,176,Dinheiro,120.0
9491,"Danish Mussarela, bacon e mostarda",03/01/2024,15:45:29,6,15.0,157,Cartão de Crédito,90.0
3034,Pastel de nata,03/01/2024,15:49:07,15,8.5,193,Cartão de Crédito,127.5
7924,Baguete calabresa com Alecrim,03/01/2024,16:05:29,7,12.0,192,Dinheiro,84.0
354,kouign-amann,03/01/2024,16:05:57,7,18.0,195,Cartão de Crédito,126.0
6805,BOSTOCK,03/01/2024,16:08:49,6,18.0,140,Cartão de Crédito,108.0
15570,Danish Gorgonzola com amêndoas,03/01/2024,16:11:11,7,15.0,152,Dinheiro,105.0
2392,Supreme / Croissant NY Chocolate,03/01/2024,16:11:59,6,19.0,167,Dinheiro,114.0
3644,Cruffin de Creme de Avelã,03/01/2024,16:13:36,10,16.0,151,Cartão de Débito,160.0
2842,Tartelete de caramelo e chocolate,03/01/2024,16:25:46,2,16.0,178,Cartão de Crédito,32.0
10219,Pain aux Suisse,03/01/2024,16:32:30,1,14.0,163,Dinheiro,14.0
14839,BOSTOCK,03/01/2024,16:43:14,5,18.0,147,Cartão de Débito,90.0
13329,Pain au chocolat,03/01/2024,16:43:35,10,13.5,182,Cartão de Crédito,135.0
6813,Gorgonzola com nozes,03/01/2024,16:50:26,4,36.5,150,Cartão de Débito,146.0
10024,Tartelete de limão,03/01/2024,16:55:35,1,16.0,144,Cartão de Débito,16.0
3807,kouign-amann,03/01/2024,16:58:23,2,18.0,172,Cartão de Débito,36.0
909,Supreme / Croissant NY Chocolate,03/01/2024,17:08:58,7,19.0,133,Dinheiro,133.0
3151,Gorgonzola com nozes,03/01/2024,17:25:33,7,36.5,197,Cartão de Débito,255.5
14208,BOSTOCK,03/01/2024,17:26:56,5,18.0,152,Cartão de Crédito,90.0
533,Brioche,03/01/2024,17:28:58,1,25.0,113,Cartão de Débito,25.0
15686,Pain aux Suisse,03/01/2024,17:39:25,1,14.0,145,Cartão de Débito,14.0
4032,Supreme / Croissant NY Chocolate,03/01/2024,17:47:08,2,19.0,189,Dinheiro,38.0
1804,Croissant,03/01/2024,17:55:57,3,11.5,179,Cartão de Crédito,34.5
1854,Gorgonzola com nozes,03/01/2024,17:56:00,6,36.5,174,Cartão de Débito,219.0
233,Tradicional/Seu Tico,03/01/2024,17:56:37,4,29.5,148,Dinheiro,118.0
8993,Danish Gorgonzola com amêndoas,03/01/2024,18:05:31,9,15.0,100,Cartão de Crédito,135.0
10012,Supreme de Pistache,03/01/2024,18:12:06,7,21.0,166,Cartão de Débito,147.0
3984,Danish Gorgonzola com amêndoas,03/01/2024,18:12:55,9,15.0,171,Cartão de Crédito,135.0
7972,Supreme / Croissant NY Chocolate,03/01/2024,18:15:40,5,19.0,172,Dinheiro,95.0
1533,Gorgonzola com nozes,03/01/2024,18:21:58,1,36.5,156,Dinheiro,36.5
7672,Croissant,03/01/2024,18:23:53,2,11.5,199,Cartão de Débito,23.0
12372,Croissant de Amêndoas,03/01/2024,18:33:25,5,18.0,179,Dinheiro,90.0
9019,Pastel de nata,03/01/2024,18:37:48,2,8.5,188,Dinheiro,17.0
4104,BOSTOCK,03/01/2024,18:46:35,3,18.0,123,Cartão de Débito,54.0
15762,Pain aux Suisse,03/01/2024,18:54:58,4,14.0,168,Dinheiro,56.0
3112,Gorgonzola com nozes,03/01/2024,19:15:21,5,36.5,119,Cartão de Crédito,182.5
5857,Baguete calabresa com Alecrim,03/01/2024,19:19:57,7,12.0,150,Cartão de Crédito,84.0
3734,Cruffin de Creme de Avelã,03/01/2024,19:22:45,3,16.0,133,Dinheiro,48.0
10371,"Danish Mussarela, bacon e mostarda",03/01/2024,19:40:26,6,15.0,188,Cartão de Débito,90.0
15715,BOSTOCK,03/01/2024,19:45:13,4,18.0,146,Dinheiro,72.0
7860,kouign-amann,03/01/2024,19:57:30,5,18.0,107,Cartão de Crédito,90.0
9679,Pain au chocolat,04/01/2024,08:12:27,9,13.5,120,Dinheiro,121.5
10230,Croissant,04/01/2024,08:33:11,5,11.5,185,Dinheiro,57.5
7737,Tradicional/Seu Tico,04/01/2024,08:50:16,6,29.5,119,Dinheiro,177.0
6332,Azapa,04/01/2024,08:50:47,5,34.0,111,Dinheiro,170.0
13948,Croissant de Amêndoas,04/01/2024,09:15:19,8,18.0,153,Cartão de Crédito,144.0
12850,Pastel de nata,04/01/2024,09:16:50,6,8.5,126,Dinheiro,51.0
15657,Pain au chocolat,04/01/2024,09:17:16,3,13.5,170,Cartão de Crédito,40.5
8967,Pastel de nata,04/01/2024,09:25:01,5,8.5,161,Cartão de Débito,42.5
7616,Gorgonzola com nozes,04/01/2024,09:31:02,5,36.5,107,Cartão de Crédito,182.5
3982,"Focaccia Tomate, Alecrim e flor sal",04/01/2024,09:37:15,6,20.0,194,Cartão de Crédito,120.0
11291,"Danish Mussarela, bacon e mostarda",04/01/2024,09:40:58,1,15.0,198,Cartão de Débito,15.0
10792,Supreme / Croissant NY Chocolate,04/01/2024,09:43:53,7,19.0,115,Cartão de Débito,133.0
1039,Tartelete de caramelo e chocolate,04/01/2024,09:56:34,1,16.0,133,Cartão de Débito,16.0
